published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2026-08-13,300.0,345.0,300.0,345.0,15.0,70.0,22824.0,1
2026-08-14,348.4,396.7,348.4,396.7,14.99,60.0,22458.0,1
2026-08-17,404.2,456.2,404.2,456.2,15.0,160.0,71116.0,1
2026-08-18,456.5,524.6,456.5,524.6,14.99,150.0,76691.0,1
2026-08-19,537.7,603.2,537.7,603.2,14.98,190.0,112319.0,1
2026-08-20,621.2,693.6,621.2,693.6,14.99,180.0,123089.0,1
2026-08-21,714.4,797.6,714.4,797.6,14.99,400.0,317021.0,1
2026-08-24,837.0,917.2,837.0,917.2,14.99,960.0,877235.0,1
2026-08-25,917.0,1054.7,917.0,1054.7,14.99,1420.0,1493620.0,1
2026-08-26,1055.0,1212.9,1055.0,1212.9,15.0,1820.0,2202837.0,1
2026-08-27,1273.5,1394.8,1273.5,1394.8,15.0,4690.0,6535458.0,1
2026-08-31,1464.5,1604.0,1276.0,1276.0,-8.52,115467.0,159195100.8,-1
2026-09-01,1250.0,1340.0,1238.0,1253.0,-1.8,51350.0,64852198.5,1
2026-09-02,1238.0,1270.0,1221.2,1230.0,-1.84,26980.0,33440363.0,-1
2026-09-03,1220.0,1228.0,1175.0,1210.0,-1.63,34865.0,42008341.4,-1
2026-09-07,1204.8,1255.0,1186.5,1245.0,2.89,24421.0,29957802.5,1
2026-09-09,1245.0,1275.0,1226.0,1240.0,-0.4,22815.0,28484407.6,-1
2026-09-10,1180.0,1277.0,1180.0,1268.0,2.26,41352.0,51905553.5,1
2026-09-11,1204.6,1375.0,1204.6,1370.0,8.04,53992.0,71141539.3,1
2026-09-14,1400.0,1498.0,1370.0,1444.0,5.4,43535.0,61539747.3,1
2026-09-15,1487.3,1516.1,1370.0,1420.0,-1.66,36823.0,51974282.4,-1
